δ,Ψ,objective,ζ_total,max_u,PV,Wind,Gas,Battery_P,Battery_E
1.0,0.5,6.302361452427793e8,294.2545553773459,3959.9365805537896,7.038821652426209e-5,154.60708870649415,44.7153466067141,40.35863200187534,175.82051434293737
1.0,0.2,6.302361452427793e8,294.2545553773459,3959.9365805537896,7.038821652426209e-5,154.60708870649415,44.7153466067141,40.35863200187534,175.82051434293737
1.0,0.1,6.302361452427793e8,294.2545553773459,3959.9365805537896,7.038821652426209e-5,154.60708870649415,44.7153466067141,40.35863200187534,175.82051434293737
0.8,0.5,5.043127770604315e8,621047.1855298262,5.5114517565058236e-5,0.00012333079937148906,154.60691253989887,44.715768483938284,40.35877445168664,175.82076673131417
0.8,0.2,5.043128016425224e8,621047.2174676448,2.149123362627984e-5,0.00012031344431496728,154.60691132972238,44.71576457356668,40.358815645753594,175.8208696075325
0.8,0.1,5.043127148053089e8,621047.1020893371,1.1780095329585398e-5,0.00013225553807348563,154.60686727500465,44.71574185257503,40.358890155529764,175.82101425975875
0.5,0.5,3.154279326414793e8,621046.889573471,2.7399917845034337e-5,0.0002638004423557107,154.60654411105202,44.71707755469067,40.359111674303925,175.82129814491464
0.5,0.2,3.154281377900947e8,621047.3039605925,8.892323411482501e-6,0.0002146316123676781,154.60662124852365,44.717095550453266,40.359238119966356,175.8216659057325
0.5,0.1,3.1542863156984156e8,621048.2959861349,1.9271760637512187e-6,9.331965087053246e-5,154.60702603362336,44.71724476806948,40.358840921913426,175.82091601386654
0.2,0.5,1.2654391929244474e8,621049.7791650615,7.710807534864882e-6,0.0003530406981378046,154.60645130739735,44.72273044003419,40.35977437459948,175.82263595821036
0.2,0.2,1.2654408228825134e8,621050.5941660202,1.530187858428e-6,0.00017766318689426812,154.60670057127112,44.72281259498006,40.35972561857376,175.8226748618882
0.2,0.1,1.2654389586038814e8,621049.6629125901,1.668689893938058e-6,0.00037998287021450815,154.60645522170333,44.72273155217183,40.359674727414976,175.8223979286548
0.0,0.5,621124.3462699391,621124.4832622544,6.855388510432152e-5,1.099501302413688,151.14257882358658,47.76059955488828,45.6636877393193,148.45627890370835
0.0,0.2,621202.1595917653,621202.195654906,7.2152480234899105e-6,0.33872848570949377,150.75410151221274,48.27217832086098,43.51564888482617,143.33336005204046
0.0,0.1,621222.5684918958,621222.5735437066,5.052033161542461e-7,0.04840041740340081,150.49641225336276,48.370880177241524,43.57943729721892,142.809145235337
