S,Include,C_inv_P,C_inv_E,WACC,Lifetime,dis_eff,ch_eff,apply_init_soc,init_soc,FOMs
BESS,0,295000,201000,0.0461,15,0.92,0.92,1,0.5,0
BESS,0,546296.2963,184920,0.0461,15,0.92,0.92,1,0.5,0
LDES_PHS,0,3646940,209632.5,0.038,40,0.89,0.89,1,0.9,0
BESS,0,306000,223000,0.0461,15,0.92,0.92,1,0.5,0
BESS,0,295000,184920,0.0461,15,0.92,0.92,1,0.5,0
LDES_PHS,0,3194400,212960,0.038,40,0.89,0.89,1,0.9,0
BESS,0,295000,218000,0.0461,15,0.92,0.92,1,0.5,0
LDES_PHS,0,3327500,199650,0.038,40,0.89,0.89,1,0.9,0
New,0,0,0,0,0,0,0,0,0,0
LDES_PHS,0,2699268,174982.13,0.035,40,0.89,0.89,1,0.9,0
BESS,0,295000,184920,0.06,15,0.92,0.92,1,0.5,0
LDES_PHS,0,3194400,212960,0.038,40,0.89,0.89,1,0.9,0
BESS,0,295000,218000,0.0461,15,0.92,0.92,1,0.5,0
NEW FINAL,0,0,0,0,0,0,0,0,0,0
H2_FC,0,3500,3,0.071,18,0.4,0.4,1,0.9,0
H2_Turbine,0,2000,3,0.071,18,0.4,0.4,1,0.9,0
BESS,0,1223,201,0.062,20,0.92,0.92,1,0.5,0
BESS,0,295,201,0.062,20,0.92,0.92,1,0.5,0
H2,1,2750000,3000,0.07,18,0.55,0.7,1,0.9,118000
BESS,0,295000,201000,0.06,20,0.92,0.92,1,0.5,27000
BESS,1,1129000,201000,0.06,20,0.92,0.92,1,0.5,27000
