S,Include,C_inv_P,C_inv_E,WACC,Lifetime,dis_eff,ch_eff,apply_init_soc,init_soc
BESS,1,295000,201000,0.0461,15,0.92,0.92,1,0.5
BESS,0,546296.2963,184920,0.0461,15,0.92,0.92,1,0.5
LDES_PHS,0,3646940,209632.5,0.038,40,0.89,0.89,1,0.9
BESS,0,306000,223000,0.0461,15,0.92,0.92,1,0.5
BESS,0,295000,184920,0.0461,15,0.92,0.92,1,0.5
LDES_PHS,0,3194400,212960,0.038,40,0.89,0.89,1,0.9
BESS,0,295000,218000,0.0461,15,0.92,0.92,1,0.5
LDES_PHS,0,3327500,199650,0.038,40,0.89,0.89,1,0.9
New,0,0,0,0,0,0,0,0,0
LDES_PHS,1,2699268,174982.13,0.035,40,0.89,0.89,1,0.9
BESS,1,295000,184920,0.06,15,0.92,0.92,1,0.5
LDES_PHS,0,3194400,212960,0.038,40,0.89,0.89,1,0.9
BESS,0,295000,218000,0.0461,15,0.92,0.92,1,0.5
