O,avg_price,std_price,min_price,max_price
1,-92.41540938,301.6311629,-5506.241616,0.00246831
2,-83.74181799,87.11545562,-1538.747856,0.000326365
3,-130.6931106,558.3116853,-7174.356202,0.00128725
4,-87.41510381,65.15879033,-471.9854781,-0.000727343
5,-83.29280926,203.0425812,-4998.012318,0.000289705
6,-74.59355196,67.13715803,-381.8613247,0.001177263
7,-100.7316689,373.831197,-8998.61774,0.005555908
8,109.9401333,230.367473,0.001099982,2951.112739
9,74.02291097,67.47643907,-0.001403565,364.0014189
10,86.63625013,213.7939682,-0.000791121,5335.802815
11,97.9562895,304.8617872,0.000354909,7802.50408
12,107.9043339,319.0040729,-0.002739632,5904.16688
13,96.56815108,148.690778,0.001793051,2903.997916
14,105.662751,329.0773779,-0.001288947,7000.894498
15,103.0878517,349.1782568,-0.000271574,8284.16106
16,93.93075646,181.9752613,0.00185085,4504.922401
17,87.52313919,201.1444753,-0.001771923,4616.425809
18,84.52736106,87.39279444,-0.000486682,1582.080701
19,91.07170432,225.4534102,0.000257904,4863.703927
20,98.35104591,272.7479839,0.000255298,6389.469152
21,90.74521608,79.89756072,0.00041593,1274.68659
22,89.27859506,83.95271507,0.004439676,1242.065893
23,99.45379966,248.8743375,0.004090331,5610.271379
24,96.19768937,247.1850315,0.002925673,5348.374999
25,104.0416087,324.5481229,-0.000133815,7871.974705
26,98.24925247,294.1428222,-0.004009448,6243.302672
27,120.5537513,404.9764943,0.00227464,8990.244013
28,82.49299066,86.83828862,-0.000553426,1555.487054
29,90.25531722,69.31686781,0.001004566,515.5066606
30,120.2012388,469.3565755,-0.001072875,8200.311779
